   104   104     1
  1.7807862E-02  2.2988325E-02  2.9293923E-02  3.6644418E-02  4.4626035E-02  5.2283276E-02  5.8054704E-02  6.0238846E-02
  1.5144232E-02  1.9206379E-02  2.3974650E-02  2.9293923E-02  3.4779627E-02  3.9756283E-02  4.3319877E-02  4.4626035E-02
  1.2584351E-02  1.5685441E-02  1.9206379E-02  2.2988325E-02  2.6731862E-02  2.9992601E-02  3.2249048E-02  3.3059780E-02
  1.0262216E-02  1.2584351E-02  1.5144232E-02  1.7807862E-02  2.0360271E-02  2.2517314E-02  2.3974650E-02  2.4491286E-02
  8.2422514E-03  9.9574132E-03  1.1800277E-02  1.3667705E-02  1.5411536E-02  1.6851742E-02  1.7807862E-02  1.8143592E-02
  6.5390463E-03  7.7937441E-03  9.1123302E-03  1.0419303E-02  1.1614653E-02  1.2584351E-02  1.3219616E-02  1.3441103E-02
  5.1363916E-03  6.0481126E-03  6.9881477E-03  7.9028104E-03  8.7252874E-03  9.3830591E-03  9.8095322E-03  9.9574132E-03
  4.0020077E-03  4.6614571E-03  5.3302785E-03  5.9709582E-03  6.5390463E-03  6.9881477E-03  7.2769294E-03  7.3766336E-03
  0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02  2.9992601E-02  2.2517314E-02
  0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02  3.2249048E-02  2.3974650E-02
  0.2000000      0.1481636      0.1097623      8.1313930E-02  6.0238846E-02  4.4626035E-02  3.3059780E-02  2.4491286E-02
  0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02  3.2249048E-02  2.3974650E-02
  0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02  2.9992601E-02  2.2517314E-02
  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02  3.4779627E-02  2.6731862E-02  2.0360271E-02
  6.0238846E-02  5.8054704E-02  5.2283276E-02  4.4626035E-02  3.6644418E-02  2.9293923E-02  2.2988325E-02  1.7807862E-02
  4.4626035E-02  4.3319877E-02  3.9756283E-02  3.4779627E-02  2.9293923E-02  2.3974650E-02  1.9206379E-02  1.5144232E-02
  3.3059780E-02  3.2249048E-02  2.9992601E-02  2.6731862E-02  2.2988325E-02  1.9206379E-02  1.5685441E-02  1.2584351E-02
  2.4491286E-02  2.3974650E-02  2.2517314E-02  2.0360271E-02  1.7807862E-02  1.5144232E-02  1.2584351E-02  1.0262216E-02
  1.8143592E-02  1.7807862E-02  1.6851742E-02  1.5411536E-02  1.3667705E-02  1.1800277E-02  9.9574132E-03  8.2422514E-03
  1.3441103E-02  1.3219616E-02  1.2584351E-02  1.1614653E-02  1.0419303E-02  9.1123302E-03  7.7937441E-03  6.5390463E-03
  9.9574132E-03  9.8095322E-03  9.3830591E-03  8.7252874E-03  7.9028104E-03  6.9881477E-03  6.0481126E-03  5.1363916E-03
  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02  2.9992601E-02
  0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02  3.2249048E-02
  0.1481636      0.2000000      0.1481636      0.1097623      8.1313930E-02  6.0238846E-02  4.4626035E-02  3.3059780E-02
  0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02  3.2249048E-02
  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02  2.9992601E-02
  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02  3.4779627E-02  2.6731862E-02
  5.8054704E-02  6.0238846E-02  5.8054704E-02  5.2283276E-02  4.4626035E-02  3.6644418E-02  2.9293923E-02  2.2988325E-02
  4.3319877E-02  4.4626035E-02  4.3319877E-02  3.9756283E-02  3.4779627E-02  2.9293923E-02  2.3974650E-02  1.9206379E-02
  3.2249048E-02  3.3059780E-02  3.2249048E-02  2.9992601E-02  2.6731862E-02  2.2988325E-02  1.9206379E-02  1.5685441E-02
  2.3974650E-02  2.4491286E-02  2.3974650E-02  2.2517314E-02  2.0360271E-02  1.7807862E-02  1.5144232E-02  1.2584351E-02
  1.7807862E-02  1.8143592E-02  1.7807862E-02  1.6851742E-02  1.5411536E-02  1.3667705E-02  1.1800277E-02  9.9574132E-03
  1.3219616E-02  1.3441103E-02  1.3219616E-02  1.2584351E-02  1.1614653E-02  1.0419303E-02  9.1123302E-03  7.7937441E-03
  9.8095322E-03  9.9574132E-03  9.8095322E-03  9.3830591E-03  8.7252874E-03  7.9028104E-03  6.9881477E-03  6.0481126E-03
  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02
  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02
  0.1097623      0.1481636      0.2000000      0.1481636      0.1097623      8.1313930E-02  6.0238846E-02  4.4626035E-02
  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02
  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02
  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02  3.4779627E-02
  5.2283276E-02  5.8054704E-02  6.0238846E-02  5.8054704E-02  5.2283276E-02  4.4626035E-02  3.6644418E-02  2.9293923E-02
  3.9756283E-02  4.3319877E-02  4.4626035E-02  4.3319877E-02  3.9756283E-02  3.4779627E-02  2.9293923E-02  2.3974650E-02
  2.9992601E-02  3.2249048E-02  3.3059780E-02  3.2249048E-02  2.9992601E-02  2.6731862E-02  2.2988325E-02  1.9206379E-02
  2.2517314E-02  2.3974650E-02  2.4491286E-02  2.3974650E-02  2.2517314E-02  2.0360271E-02  1.7807862E-02  1.5144232E-02
  1.6851742E-02  1.7807862E-02  1.8143592E-02  1.7807862E-02  1.6851742E-02  1.5411536E-02  1.3667705E-02  1.1800277E-02
  1.2584351E-02  1.3219616E-02  1.3441103E-02  1.3219616E-02  1.2584351E-02  1.1614653E-02  1.0419303E-02  9.1123302E-03
  9.3830591E-03  9.8095322E-03  9.9574132E-03  9.8095322E-03  9.3830591E-03  8.7252874E-03  7.9028104E-03  6.9881477E-03
  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02
  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02
  8.1313930E-02  0.1097623      0.1481636      0.2000000      0.1481636      0.1097623      8.1313930E-02  6.0238846E-02
  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02
  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02
  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02
  4.4626035E-02  5.2283276E-02  5.8054704E-02  6.0238846E-02  5.8054704E-02  5.2283276E-02  4.4626035E-02  3.6644418E-02
  3.4779627E-02  3.9756283E-02  4.3319877E-02  4.4626035E-02  4.3319877E-02  3.9756283E-02  3.4779627E-02  2.9293923E-02
  2.6731862E-02  2.9992601E-02  3.2249048E-02  3.3059780E-02  3.2249048E-02  2.9992601E-02  2.6731862E-02  2.2988325E-02
  2.0360271E-02  2.2517314E-02  2.3974650E-02  2.4491286E-02  2.3974650E-02  2.2517314E-02  2.0360271E-02  1.7807862E-02
  1.5411536E-02  1.6851742E-02  1.7807862E-02  1.8143592E-02  1.7807862E-02  1.6851742E-02  1.5411536E-02  1.3667705E-02
  1.1614653E-02  1.2584351E-02  1.3219616E-02  1.3441103E-02  1.3219616E-02  1.2584351E-02  1.1614653E-02  1.0419303E-02
  8.7252874E-03  9.3830591E-03  9.8095322E-03  9.9574132E-03  9.8095322E-03  9.3830591E-03  8.7252874E-03  7.9028104E-03
  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02
  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02
  6.0238846E-02  8.1313930E-02  0.1097623      0.1481636      0.2000000      0.1481636      0.1097623      8.1313930E-02
  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02
  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02
  4.4626035E-02  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02
  3.6644418E-02  4.4626035E-02  5.2283276E-02  5.8054704E-02  6.0238846E-02  5.8054704E-02  5.2283276E-02  4.4626035E-02
  2.9293923E-02  3.4779627E-02  3.9756283E-02  4.3319877E-02  4.4626035E-02  4.3319877E-02  3.9756283E-02  3.4779627E-02
  2.2988325E-02  2.6731862E-02  2.9992601E-02  3.2249048E-02  3.3059780E-02  3.2249048E-02  2.9992601E-02  2.6731862E-02
  1.7807862E-02  2.0360271E-02  2.2517314E-02  2.3974650E-02  2.4491286E-02  2.3974650E-02  2.2517314E-02  2.0360271E-02
  1.3667705E-02  1.5411536E-02  1.6851742E-02  1.7807862E-02  1.8143592E-02  1.7807862E-02  1.6851742E-02  1.5411536E-02
  1.0419303E-02  1.1614653E-02  1.2584351E-02  1.3219616E-02  1.3441103E-02  1.3219616E-02  1.2584351E-02  1.1614653E-02
  7.9028104E-03  8.7252874E-03  9.3830591E-03  9.8095322E-03  9.9574132E-03  9.8095322E-03  9.3830591E-03  8.7252874E-03
  3.9756283E-02  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02
  4.3319877E-02  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578    
  4.4626035E-02  6.0238846E-02  8.1313930E-02  0.1097623      0.1481636      0.2000000      0.1481636      0.1097623    
  4.3319877E-02  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578    
  3.9756283E-02  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02
  3.4779627E-02  4.4626035E-02  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02
  2.9293923E-02  3.6644418E-02  4.4626035E-02  5.2283276E-02  5.8054704E-02  6.0238846E-02  5.8054704E-02  5.2283276E-02
  2.3974650E-02  2.9293923E-02  3.4779627E-02  3.9756283E-02  4.3319877E-02  4.4626035E-02  4.3319877E-02  3.9756283E-02
  1.9206379E-02  2.2988325E-02  2.6731862E-02  2.9992601E-02  3.2249048E-02  3.3059780E-02  3.2249048E-02  2.9992601E-02
  1.5144232E-02  1.7807862E-02  2.0360271E-02  2.2517314E-02  2.3974650E-02  2.4491286E-02  2.3974650E-02  2.2517314E-02
  1.1800277E-02  1.3667705E-02  1.5411536E-02  1.6851742E-02  1.7807862E-02  1.8143592E-02  1.7807862E-02  1.6851742E-02
  9.1123302E-03  1.0419303E-02  1.1614653E-02  1.2584351E-02  1.3219616E-02  1.3441103E-02  1.3219616E-02  1.2584351E-02
  6.9881477E-03  7.9028104E-03  8.7252874E-03  9.3830591E-03  9.8095322E-03  9.9574132E-03  9.8095322E-03  9.3830591E-03
  2.9992601E-02  3.9756283E-02  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578    
  3.2249048E-02  4.3319877E-02  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502    
  3.3059780E-02  4.4626035E-02  6.0238846E-02  8.1313930E-02  0.1097623      0.1481636      0.2000000      0.1481636    
  3.2249048E-02  4.3319877E-02  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502    
  2.9992601E-02  3.9756283E-02  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578    
  2.6731862E-02  3.4779627E-02  4.4626035E-02  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02
  2.2988325E-02  2.9293923E-02  3.6644418E-02  4.4626035E-02  5.2283276E-02  5.8054704E-02  6.0238846E-02  5.8054704E-02
  1.9206379E-02  2.3974650E-02  2.9293923E-02  3.4779627E-02  3.9756283E-02  4.3319877E-02  4.4626035E-02  4.3319877E-02
  1.5685441E-02  1.9206379E-02  2.2988325E-02  2.6731862E-02  2.9992601E-02  3.2249048E-02  3.3059780E-02  3.2249048E-02
  1.2584351E-02  1.5144232E-02  1.7807862E-02  2.0360271E-02  2.2517314E-02  2.3974650E-02  2.4491286E-02  2.3974650E-02
  9.9574132E-03  1.1800277E-02  1.3667705E-02  1.5411536E-02  1.6851742E-02  1.7807862E-02  1.8143592E-02  1.7807862E-02
  7.7937441E-03  9.1123302E-03  1.0419303E-02  1.1614653E-02  1.2584351E-02  1.3219616E-02  1.3441103E-02  1.3219616E-02
  6.0481126E-03  6.9881477E-03  7.9028104E-03  8.7252874E-03  9.3830591E-03  9.8095322E-03  9.9574132E-03  9.8095322E-03
  2.2517314E-02  2.9992601E-02  3.9756283E-02  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623    
  2.3974650E-02  3.2249048E-02  4.3319877E-02  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636    
  2.4491286E-02  3.3059780E-02  4.4626035E-02  6.0238846E-02  8.1313930E-02  0.1097623      0.1481636      0.2000000    
  2.3974650E-02  3.2249048E-02  4.3319877E-02  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636    
  2.2517314E-02  2.9992601E-02  3.9756283E-02  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623    
  2.0360271E-02  2.6731862E-02  3.4779627E-02  4.4626035E-02  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02
  1.7807862E-02  2.2988325E-02  2.9293923E-02  3.6644418E-02  4.4626035E-02  5.2283276E-02  5.8054704E-02  6.0238846E-02
  1.5144232E-02  1.9206379E-02  2.3974650E-02  2.9293923E-02  3.4779627E-02  3.9756283E-02  4.3319877E-02  4.4626035E-02
  1.2584351E-02  1.5685441E-02  1.9206379E-02  2.2988325E-02  2.6731862E-02  2.9992601E-02  3.2249048E-02  3.3059780E-02
  1.0262216E-02  1.2584351E-02  1.5144232E-02  1.7807862E-02  2.0360271E-02  2.2517314E-02  2.3974650E-02  2.4491286E-02
  8.2422514E-03  9.9574132E-03  1.1800277E-02  1.3667705E-02  1.5411536E-02  1.6851742E-02  1.7807862E-02  1.8143592E-02
  6.5390463E-03  7.7937441E-03  9.1123302E-03  1.0419303E-02  1.1614653E-02  1.2584351E-02  1.3219616E-02  1.3441103E-02
  5.1363916E-03  6.0481126E-03  6.9881477E-03  7.9028104E-03  8.7252874E-03  9.3830591E-03  9.8095322E-03  9.9574132E-03
  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02  3.4779627E-02  2.6731862E-02  2.0360271E-02
  0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02  2.9992601E-02  2.2517314E-02
  0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02  3.2249048E-02  2.3974650E-02
  0.2000000      0.1481636      0.1097623      8.1313930E-02  6.0238846E-02  4.4626035E-02  3.3059780E-02  2.4491286E-02
  0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02  3.2249048E-02  2.3974650E-02
  0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02  2.9992601E-02  2.2517314E-02
  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02  3.4779627E-02  2.6731862E-02  2.0360271E-02
  6.0238846E-02  5.8054704E-02  5.2283276E-02  4.4626035E-02  3.6644418E-02  2.9293923E-02  2.2988325E-02  1.7807862E-02
  4.4626035E-02  4.3319877E-02  3.9756283E-02  3.4779627E-02  2.9293923E-02  2.3974650E-02  1.9206379E-02  1.5144232E-02
  3.3059780E-02  3.2249048E-02  2.9992601E-02  2.6731862E-02  2.2988325E-02  1.9206379E-02  1.5685441E-02  1.2584351E-02
  2.4491286E-02  2.3974650E-02  2.2517314E-02  2.0360271E-02  1.7807862E-02  1.5144232E-02  1.2584351E-02  1.0262216E-02
  1.8143592E-02  1.7807862E-02  1.6851742E-02  1.5411536E-02  1.3667705E-02  1.1800277E-02  9.9574132E-03  8.2422514E-03
  1.3441103E-02  1.3219616E-02  1.2584351E-02  1.1614653E-02  1.0419303E-02  9.1123302E-03  7.7937441E-03  6.5390463E-03
  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02  3.4779627E-02  2.6731862E-02
  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02  2.9992601E-02
  0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02  3.2249048E-02
  0.1481636      0.2000000      0.1481636      0.1097623      8.1313930E-02  6.0238846E-02  4.4626035E-02  3.3059780E-02
  0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02  3.2249048E-02
  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02  2.9992601E-02
  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02  3.4779627E-02  2.6731862E-02
  5.8054704E-02  6.0238846E-02  5.8054704E-02  5.2283276E-02  4.4626035E-02  3.6644418E-02  2.9293923E-02  2.2988325E-02
  4.3319877E-02  4.4626035E-02  4.3319877E-02  3.9756283E-02  3.4779627E-02  2.9293923E-02  2.3974650E-02  1.9206379E-02
  3.2249048E-02  3.3059780E-02  3.2249048E-02  2.9992601E-02  2.6731862E-02  2.2988325E-02  1.9206379E-02  1.5685441E-02
  2.3974650E-02  2.4491286E-02  2.3974650E-02  2.2517314E-02  2.0360271E-02  1.7807862E-02  1.5144232E-02  1.2584351E-02
  1.7807862E-02  1.8143592E-02  1.7807862E-02  1.6851742E-02  1.5411536E-02  1.3667705E-02  1.1800277E-02  9.9574132E-03
  1.3219616E-02  1.3441103E-02  1.3219616E-02  1.2584351E-02  1.1614653E-02  1.0419303E-02  9.1123302E-03  7.7937441E-03
  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02  3.4779627E-02
  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02
  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02
  0.1097623      0.1481636      0.2000000      0.1481636      0.1097623      8.1313930E-02  6.0238846E-02  4.4626035E-02
  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02  4.3319877E-02
  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02  3.9756283E-02
  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02  3.4779627E-02
  5.2283276E-02  5.8054704E-02  6.0238846E-02  5.8054704E-02  5.2283276E-02  4.4626035E-02  3.6644418E-02  2.9293923E-02
  3.9756283E-02  4.3319877E-02  4.4626035E-02  4.3319877E-02  3.9756283E-02  3.4779627E-02  2.9293923E-02  2.3974650E-02
  2.9992601E-02  3.2249048E-02  3.3059780E-02  3.2249048E-02  2.9992601E-02  2.6731862E-02  2.2988325E-02  1.9206379E-02
  2.2517314E-02  2.3974650E-02  2.4491286E-02  2.3974650E-02  2.2517314E-02  2.0360271E-02  1.7807862E-02  1.5144232E-02
  1.6851742E-02  1.7807862E-02  1.8143592E-02  1.7807862E-02  1.6851742E-02  1.5411536E-02  1.3667705E-02  1.1800277E-02
  1.2584351E-02  1.3219616E-02  1.3441103E-02  1.3219616E-02  1.2584351E-02  1.1614653E-02  1.0419303E-02  9.1123302E-03
  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02
  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02
  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02
  8.1313930E-02  0.1097623      0.1481636      0.2000000      0.1481636      0.1097623      8.1313930E-02  6.0238846E-02
  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02  5.8054704E-02
  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02  5.2283276E-02
  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02  4.4626035E-02
  4.4626035E-02  5.2283276E-02  5.8054704E-02  6.0238846E-02  5.8054704E-02  5.2283276E-02  4.4626035E-02  3.6644418E-02
  3.4779627E-02  3.9756283E-02  4.3319877E-02  4.4626035E-02  4.3319877E-02  3.9756283E-02  3.4779627E-02  2.9293923E-02
  2.6731862E-02  2.9992601E-02  3.2249048E-02  3.3059780E-02  3.2249048E-02  2.9992601E-02  2.6731862E-02  2.2988325E-02
  2.0360271E-02  2.2517314E-02  2.3974650E-02  2.4491286E-02  2.3974650E-02  2.2517314E-02  2.0360271E-02  1.7807862E-02
  1.5411536E-02  1.6851742E-02  1.7807862E-02  1.8143592E-02  1.7807862E-02  1.6851742E-02  1.5411536E-02  1.3667705E-02
  1.1614653E-02  1.2584351E-02  1.3219616E-02  1.3441103E-02  1.3219616E-02  1.2584351E-02  1.1614653E-02  1.0419303E-02
  4.4626035E-02  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02
  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02
  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02
  6.0238846E-02  8.1313930E-02  0.1097623      0.1481636      0.2000000      0.1481636      0.1097623      8.1313930E-02
  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578      7.7450119E-02
  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02  6.7806087E-02
  4.4626035E-02  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02  5.6009717E-02
  3.6644418E-02  4.4626035E-02  5.2283276E-02  5.8054704E-02  6.0238846E-02  5.8054704E-02  5.2283276E-02  4.4626035E-02
  2.9293923E-02  3.4779627E-02  3.9756283E-02  4.3319877E-02  4.4626035E-02  4.3319877E-02  3.9756283E-02  3.4779627E-02
  2.2988325E-02  2.6731862E-02  2.9992601E-02  3.2249048E-02  3.3059780E-02  3.2249048E-02  2.9992601E-02  2.6731862E-02
  1.7807862E-02  2.0360271E-02  2.2517314E-02  2.3974650E-02  2.4491286E-02  2.3974650E-02  2.2517314E-02  2.0360271E-02
  1.3667705E-02  1.5411536E-02  1.6851742E-02  1.7807862E-02  1.8143592E-02  1.7807862E-02  1.6851742E-02  1.5411536E-02
  1.0419303E-02  1.1614653E-02  1.2584351E-02  1.3219616E-02  1.3441103E-02  1.3219616E-02  1.2584351E-02  1.1614653E-02
  3.4779627E-02  4.4626035E-02  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02
  3.9756283E-02  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02
  4.3319877E-02  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578    
  4.4626035E-02  6.0238846E-02  8.1313930E-02  0.1097623      0.1481636      0.2000000      0.1481636      0.1097623    
  4.3319877E-02  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502      0.1022578    
  3.9756283E-02  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578      8.5608900E-02
  3.4779627E-02  4.4626035E-02  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02  6.7806087E-02
  2.9293923E-02  3.6644418E-02  4.4626035E-02  5.2283276E-02  5.8054704E-02  6.0238846E-02  5.8054704E-02  5.2283276E-02
  2.3974650E-02  2.9293923E-02  3.4779627E-02  3.9756283E-02  4.3319877E-02  4.4626035E-02  4.3319877E-02  3.9756283E-02
  1.9206379E-02  2.2988325E-02  2.6731862E-02  2.9992601E-02  3.2249048E-02  3.3059780E-02  3.2249048E-02  2.9992601E-02
  1.5144232E-02  1.7807862E-02  2.0360271E-02  2.2517314E-02  2.3974650E-02  2.4491286E-02  2.3974650E-02  2.2517314E-02
  1.1800277E-02  1.3667705E-02  1.5411536E-02  1.6851742E-02  1.7807862E-02  1.8143592E-02  1.7807862E-02  1.6851742E-02
  9.1123302E-03  1.0419303E-02  1.1614653E-02  1.2584351E-02  1.3219616E-02  1.3441103E-02  1.3219616E-02  1.2584351E-02
  2.6731862E-02  3.4779627E-02  4.4626035E-02  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02
  2.9992601E-02  3.9756283E-02  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578    
  3.2249048E-02  4.3319877E-02  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502    
  3.3059780E-02  4.4626035E-02  6.0238846E-02  8.1313930E-02  0.1097623      0.1481636      0.2000000      0.1481636    
  3.2249048E-02  4.3319877E-02  5.8054704E-02  7.7450119E-02  0.1022578      0.1308502      0.1481636      0.1308502    
  2.9992601E-02  3.9756283E-02  5.2283276E-02  6.7806087E-02  8.5608900E-02  0.1022578      0.1097623      0.1022578    
  2.6731862E-02  3.4779627E-02  4.4626035E-02  5.6009717E-02  6.7806087E-02  7.7450119E-02  8.1313930E-02  7.7450119E-02
  2.2988325E-02  2.9293923E-02  3.6644418E-02  4.4626035E-02  5.2283276E-02  5.8054704E-02  6.0238846E-02  5.8054704E-02
  1.9206379E-02  2.3974650E-02  2.9293923E-02  3.4779627E-02  3.9756283E-02  4.3319877E-02  4.4626035E-02  4.3319877E-02
  1.5685441E-02  1.9206379E-02  2.2988325E-02  2.6731862E-02  2.9992601E-02  3.2249048E-02  3.3059780E-02  3.2249048E-02
  1.2584351E-02  1.5144232E-02  1.7807862E-02  2.0360271E-02  2.2517314E-02  2.3974650E-02  2.4491286E-02  2.3974650E-02
  9.9574132E-03  1.1800277E-02  1.3667705E-02  1.5411536E-02  1.6851742E-02  1.7807862E-02  1.8143592E-02  1.7807862E-02
